ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	score
ILMN_2808939	0.259612	0.0556	2.076479	-4.51124	0.13603463	0610007P14Rik	RIKEN cDNA 0610007P14 gene	0.170713286404808
ILMN_2734484	0.743667	0.42	0.829588	-6.1284	0.03648781	0610009B22Rik	RIKEN cDNA 0610009B22 gene	0.0137468083093266
ILMN_1213681	0.123201	0.0173	-2.676269	-3.44608	-0.08641584	0610009O20Rik	RIKEN cDNA 0610009O20 gene	-0.078585334945256
ILMN_2674228	0.199105	0.0362	2.301499	-4.12572	0.08968784	0610010K14Rik	RIKEN cDNA 0610010K14 gene	0.129266315119393
ILMN_2611352	0.050254	0.00464	3.326077	-2.19916	0.16657031	0610037L13Rik	RIKEN cDNA 0610037L13 gene	0.216346409894914
ILMN_2622630	0.97606	0.922	-0.099683	-6.47371	-0.00525395	0610037L13Rik	RIKEN cDNA 0610037L13 gene	-0.000185301977330284
ILMN_2915716	0.748343	0.426	0.818762	-6.13728	0.02599055	0610040J01Rik	RIKEN cDNA 0610040J01 gene	0.00963184834404083
ILMN_1257567	0.70151	0.368	0.929367	-6.04155	0.02138691	1110004E09Rik	RIKEN cDNA 1110004E09 gene	0.00928517362833316
ILMN_1242099	0.802777	0.509	-0.676792	-6.24382	-0.01884725	1110004F10Rik	RIKEN cDNA 1110004F10 gene	-0.00552756327685352
ILMN_2919489	0.06454	0.00671	3.145401	-2.55137	0.22476904	1110008F13Rik	RIKEN cDNA 1110008F13 gene	0.267513601856574
ILMN_1225594	0.079898	0.00912	2.994946	-2.84207	0.35860282	1110008P14Rik	RIKEN cDNA 1110008P14 gene	0.393553718158466
ILMN_3144761	0.174612	0.0294	2.408295	-3.93629	0.16102473	1110012L19Rik	RIKEN cDNA 1110012L19 gene	0.246633957574162
ILMN_2604806	0.4474	0.144	1.54214	-5.33088	0.12713875	1110012L19Rik	RIKEN cDNA 1110012L19 gene	0.107004740708125
ILMN_3043178	0.832295	0.562	-0.593163	-6.29768	-0.04535387	1110017D15Rik	RIKEN cDNA 1110017D15 gene	-0.0113504266094018
ILMN_2617920	0.905143	0.722	0.361993	-6.41089	0.06128422	1110017D15Rik	RIKEN cDNA 1110017D15 gene	0.00866943750595877
ILMN_3118081	0.949844	0.846	-0.197858	-6.45851	-0.03472202	1110017D15Rik	RIKEN cDNA 1110017D15 gene	-0.00252184770715176
ILMN_2708949	0.821067	0.54	0.626469	-6.27704	0.02047853	1110032A03Rik	RIKEN cDNA 1110032A03 gene	0.00548018241765255
ILMN_2629375	0.02952	0.00208	3.71935	-1.4264	0.18184646	1110038F14Rik	RIKEN cDNA 1110038F14 gene	0.27820392539138
ILMN_2863437	0.077766	0.00876	3.014844	-2.80379	0.15661813	1110038F14Rik	RIKEN cDNA 1110038F14 gene	0.173722433408699
ILMN_2711312	0.93644	0.804	0.25233	-6.44577	0.0098164	1110051M20Rik	RIKEN cDNA 1110051M20 gene	0.000930044523065703
ILMN_2846731	0.425365	0.13	1.601769	-5.24739	0.27217601	1110059E24Rik	RIKEN cDNA 1110059E24 gene	0.241163363003101
ILMN_2661628	0.797976	0.502	0.68825	-6.23592	0.02485867	1110059E24Rik	RIKEN cDNA 1110059E24 gene	0.00744010752771862
ILMN_2825260	0.523884	0.195	1.357114	-5.57503	0.05209231	1110059G10Rik	RIKEN cDNA 1110059G10 gene	0.0369837371141742
ILMN_3162133	0.649035	0.308	-1.054582	-5.9203	-0.03859652	1190002N15Rik	RIKEN cDNA 1190002N15 gene	-0.0197401624995763
ILMN_2699367	0.991806	0.972	-0.036209	-6.4782	-0.00468196	1190005I06Rik	RIKEN cDNA 1190005I06 gene	-5.77460542657795E-05
ILMN_3004177	0.998679	0.995	0.006728	-6.47886	0.00037704	1300017J02Rik	RIKEN cDNA 1300017J02 gene	8.20785635631675E-07
ILMN_1249000	0.739399	0.414	0.839806	-6.11991	0.28342641	1500015O10Rik	RIKEN cDNA 1500015O10 gene	0.108552218347328
ILMN_3004151	0.008936	0.000323	4.643895	0.37573	0.31372611	1600002K03Rik	RIKEN cDNA 1600002K03 gene	0.64277988632635
ILMN_3009738	0.861698	0.62	0.505885	-6.34665	0.03893263	1600012H06Rik	RIKEN cDNA 1600012H06 gene	0.0080827375376896
ILMN_2718861	0.865328	0.628	0.49416	-6.35266	0.01793199	1600012H06Rik	RIKEN cDNA 1600012H06 gene	0.00362298564810104
ILMN_1238211	0.92099	0.761	-0.309853	-6.42901	-0.00968232	1600012H06Rik	RIKEN cDNA 1600012H06 gene	-0.00114847171005715
ILMN_2822842	0.735086	0.407	-0.852432	-6.1093	-0.03060152	1600014C10Rik	RIKEN cDNA 1600014C10 gene	-0.0119470044942062
ILMN_1222284	0.839371	0.577	0.569766	-6.31154	0.02579967	1600015I10Rik	RIKEN cDNA 1600015I10 gene	0.00616158520860047
ILMN_3003501	0.058481	0.00579	-3.217958	-2.41027	-0.23502042	1700001C02Rik	RIKEN cDNA 1700001C02 gene	-0.289776701846286
ILMN_1215822	0.398079	0.115	-1.672769	-5.14511	-0.05590996	1700001C19Rik	RIKEN cDNA 1700001C19 gene	-0.0525163461737432
ILMN_2955312	0.838028	0.574	-0.575263	-6.30833	-0.02083508	1700001C19Rik	RIKEN cDNA 1700001C19 gene	-0.00502309000893683
ILMN_1231037	0.762148	0.446	-0.782497	-6.16627	-0.02346539	1700001F09Rik	RIKEN cDNA 1700001F09 gene	-0.00822849429972469
ILMN_2666574	0.531584	0.201	1.337356	-5.5997	0.04677457	1700001J03Rik	RIKEN cDNA 1700001J03 gene	0.0325927047884613
ILMN_2664449	0.266866	0.058	2.053588	-4.5493	0.07289744	1700001O22Rik	RIKEN cDNA 1700001O22 gene	0.0901429336449254
